Date_Time_Hour_Beginning;Thermal_Gen_Excl_Pumping_and_SCO;Eskom_OCGT_SCO_Pumping;Eskom_Gas_SCO_Pumping;Hydro_Water_SCO_Pumping;Pumped_Water_SCO_Pumping;Thermal_Generation;Nuclear_Generation;International_Imports;Eskom_OCGT_Generation;Eskom_Gas_Generation;Dispatchable_IPP_OCGT;Hydro_Water_Generation;Pumped_Water_Generation;IOS_Excl_ILS_and_MLR;ILS_Usage;Manual_Load_Reduction_MLR;Wind;PV;CSP;Other_RE
2023-01-07 23:00:00;14869,534;-3,4660000000000002;-2;0;-1564;16439;924;1305;0;0;0;604;0;0;0;2525,7620000000002;1553,3;0;84,201999999999998;42,161999999999999
2023-01-08 00:00:00;14378,667000000001;-3,3330000000000002;-2;0;-2155;16539;924;1311;0;0;0;605;0;0;0;2449,6039999999998;1412,7529999999999;0;38,311999999999998;41,475000000000001
2023-01-08 01:00:00;14124,667000000001;-3,3330000000000002;-2;0;-2304;16434;923;1310;0;0;0;604;0;0;0;2396,4400000000001;1253,739;0;38,390000000000001;41,390000000000001
2023-01-08 02:00:00;13961,666999999999;-3,3330000000000002;-2;0;-2238;16205;924;1308;0;0;0;604;0;0;0;2371,306;1165,771;0;38,265999999999998;40,770000000000003
2023-01-08 03:00:00;13913,534;-3,4660000000000002;-2;0;-2135;16054;924;1315;0;0;0;604;0;0;0;2494,364;1090,55;0;38,537999999999997;40,484999999999999
2023-01-08 04:00:00;14561,534;-3,4660000000000002;-2;0;-1934;16501;924;1323;0;0;0;605;0;0;0;2216,0549999999998;1008,213;0;40,979999999999997;40,901000000000003
2023-01-08 05:00:00;15096,667000000001;-3,3330000000000002;-2;0;-1299;16401;924;1338;0;0;0;604;0;0;0;1863,1900000000001;916,42499999999995;5,609;220,10400000000001;40,970999999999997
2023-01-08 06:00:00;15996,667000000001;-3,3330000000000002;-2;0;-489;16491;924;1383;0;0;0;604;0;0;0;1793,558;750,92499999999995;301,27600000000001;276,58300000000003;40,323
2023-01-08 07:00:00;16502,800999999999;-5,1989999999999998;-2;0;-108;16618;924;1365;0;0;0;603;195;0;0;2230,3690000000001;571,16399999999999;999,76400000000001;348,86900000000003;40,558
2023-01-08 08:00:00;16941,534;-3,4660000000000002;-2;0;-26;16973;924;1383;0;0;0;604;525;0;0;2268,9760000000001;458,95299999999997;1436,1559999999999;492,471;41,078000000000003
2023-01-08 09:00:00;16516,560999999998;-3,1989999999999998;-2;0;-14;16535,759999999998;924;1404;0;0;0;604;1203;0;0;2468,5740000000001;460,66899999999998;1657,7470000000001;502,161;43,176000000000002
2023-01-08 10:00:00;16585,934000000001;-3,0659999999999998;-2;0;-23;16614;924;1395;0;0;0;603;790;0;0;2682,8670000000002;435,584;1762,097;500,78199999999998;43,426000000000002
2023-01-08 11:00:00;16596,800999999999;-3,1989999999999998;-2;0;-27;16629;924;1399;0;0;0;603;430;0;0;2804,723;482,68299999999999;1808,721;482,553;42,831000000000003
2023-01-08 12:00:00;16573,800999999999;-3,1989999999999998;-2;0;-25;16604;923;1390;0;0;0;605;597;0;0;2675,79;559,66899999999998;1748,8579999999999;468,92099999999999;41,317
2023-01-08 13:00:00;16453,934000000001;-3,0659999999999998;-2;0;-122;16581;923;1406;114;0;224,57300000000001;603;160;0;0;2596,3159999999998;649,93799999999999;1629,9670000000001;466,48099999999999;40,939
2023-01-08 14:00:00;16380,667000000001;-3,3330000000000002;-2;0;-277;16663;923;1411;131;0;298,63099999999997;604;0;0;0;2316,9780000000001;741,87699999999995;1603,492;445,37099999999998;40,189999999999998
2023-01-08 15:00:00;16192,607;-3,3330000000000002;-2;0;-581;16778,939999999999;924;1394;131;0;301,267;604;0;0;0;2302,5610000000001;859,11099999999999;1504,798;446,85300000000001;36,726999999999997
2023-01-08 16:00:00;16430,800999999999;-3,1989999999999998;-2;0;-515;16951;923;1403;129;0;302,17000000000002;604;0;0;0;2665,5709999999999;893,28899999999999;1218,087;450,28500000000003;40,835999999999999
2023-01-08 17:00:00;16909,667000000001;-3,3330000000000002;-2;0;-131;17046;923;1403;127;0;303,33199999999999;604;99;0;0;2431,4029999999998;926,62099999999998;935,04499999999996;474,82100000000003;40,945999999999998
2023-01-08 18:00:00;16949,384000000002;-3,0659999999999998;-2;0;-24;16978,450000000001;923;1415;129;0;305,03699999999998;604;624;0;0;2759,2249999999999;1053,607;403,50900000000001;444,42500000000001;40,844000000000001
2023-01-08 19:00:00;16975,547000000002;-3,3330000000000002;-2;0;-11;16991,880000000001;923;1380;133;0;306,399;605;1480;0;0;3177,556;1326,9459999999999;22,084;388,98200000000003;39,222999999999999
2023-01-08 20:00:00;16740,800999999999;-3,1989999999999998;-2;0;-5;16751;923;1351;131;0;307,71800000000002;605;1616;0;0;2964,9639999999999;1297,72;0;380,59899999999999;39,744999999999997
2023-01-08 21:00:00;16470,534;-3,4660000000000002;-2;0;-20;16496;923;1360;127;0;309,18099999999998;604;759;0;0;2664,2649999999999;983,64599999999996;0;371,60500000000002;32,340000000000003
2023-01-08 22:00:00;16384,800999999999;-3,1989999999999998;-2;0;-124;16514;923;1328;105;0;309,33100000000002;604;198;0;0;2217,7240000000002;753,15899999999999;0;116,051;29,206
2023-01-08 23:00:00;15729,401000000002;-3,5990000000000002;-2;0;-875;16610;923;1350;0;0;111,535;604;0;0;0;2195,5439999999999;614,38900000000001;0;82,659000000000006;35,435000000000002
2023-01-09 00:00:00;15318,667000000001;-3,3330000000000002;-2;0;-1474;16798;923;1353;0;0;0;605;0;0;0;2265,4720000000002;554,08299999999997;0;37,122;37,149999999999999
2023-01-09 01:00:00;14888,667000000001;-3,3330000000000002;-2;0;-2103;16997;924;1351;0;0;0;604;0;0;0;2307,1909999999998;529,98699999999997;0;37,155000000000001;38,366
2023-01-09 02:00:00;15049,097000000002;-3,3330000000000002;-2;0;-1963;17017,43;924;1351;0;0;0;604;0;0;0;2196,692;461,63299999999998;0;37,194000000000003;38,341000000000001
2023-01-09 03:00:00;15139,353999999999;-3,4660000000000002;-2;0;-1800;16944,82;924;1357;0;0;0;604;0;0;0;2337,509;416,95800000000003;0;37,307000000000002;34,121000000000002
2023-01-09 04:00:00;16012,534;-3,4660000000000002;-2;0;-1122;17140;924;1361;0;0;0;604;0;0;0;2302,9290000000001;368,93099999999998;0;39,494999999999997;35,784999999999997
2023-01-09 05:00:00;17325,401000000002;-3,5990000000000002;-2;0;-116;17447;924;1359;0;0;168,74000000000001;600;0;0;0;2095,4929999999999;406,17099999999999;5,5609999999999999;153,78200000000001;31,143999999999998
2023-01-09 06:00:00;17505,807000000001;-3,3330000000000002;-2;0;-43;17554,139999999999;924;1393;188;0;411,23000000000002;604;43;0;0;2063,6379999999999;555,22699999999998;291,404;197,31899999999999;35,719000000000001
2023-01-09 07:00:00;17397,800999999999;-3,1989999999999998;-2;0;-42;17445;924;1377;260;0;458,26799999999997;604;45;0;0;2227,71;686,72000000000003;976,91700000000003;273,61599999999999;36,829000000000001
2023-01-09 08:00:00;17133,667000000001;-3,3330000000000002;-2;0;-31;17170;924;1345;258;0;452,64600000000002;603;574;0;0;2632,5250000000001;731,78999999999996;1397,05;478,92200000000003;38,161000000000001
2023-01-09 09:00:00;17318,534;-3,4660000000000002;-2;0;-35;17359;923;1355;244;0;448,899;601;313;0;0;2791,3649999999998;971,07799999999997;1657,8699999999999;501,16899999999998;37,82
2023-01-09 10:00:00;17288,667000000001;-3,3330000000000002;-2;0;-55;17349;924;1360;253;0;445,61500000000001;604;0;0;0;3107,4029999999998;1024,4870000000001;1817,838;500,83699999999999;38,298999999999999
2023-01-09 11:00:00;17168,800999999999;-3,1989999999999998;-2;0;-35;17209;924;1362;260;0;444,26499999999999;605;292;0;0;3051,933;973,98699999999997;1827,086;499,19600000000003;28,062999999999999
2023-01-09 12:00:00;17074,641;-3,1989999999999998;-2;0;-28;17107,84;923;1371;256;0;440,29500000000002;604;627;0;0;2764,6880000000001;965,09500000000003;1845,9680000000001;497,34199999999998;34,780999999999999
2023-01-09 13:00:00;17101,667000000001;-3,3330000000000002;-2;0;-30;17137;923;1337;244;0;445,71699999999998;603;484;0;0;2808,1170000000002;1008,059;1782,713;488,59399999999999;35,960999999999999
2023-01-09 14:00:00;17038;0;-2;0;-29;17069;923;1348;457;0;445,23000000000002;604;572;0;0;2622,319;1148,271;1672,8989999999999;478,64499999999998;29,748000000000001
2023-01-09 15:00:00;17024,667000000001;-3,3330000000000002;-2;0;-29;17059;923;1380;637;0;446,59199999999998;604;558;0;0;2622,3829999999998;1487,9490000000001;1540,124;474,93700000000001;38,256
2023-01-09 16:00:00;17114,534;-3,4660000000000002;-2;0;-67;17187;923;1385;616;0;452,245;603;27;0;0;3395,1469999999999;1676,404;1163,029;424,70999999999998;38,451999999999998
2023-01-09 17:00:00;16579,800999999999;-3,1989999999999998;-2;0;-718;17303;923;1413;645;0;455,73099999999999;602;0;0;0;3613,6280000000002;1796,954;935,51099999999997;472,00299999999999;39,411000000000001
2023-01-09 18:00:00;17337,534;-3,4660000000000002;-2;0;-230;17573;923;1369;656;0;456,74900000000002;603;236;382;0;3185,942;1686,239;384,72500000000002;441,56700000000001;39,506999999999998
2023-01-09 19:00:00;17677,800999999999;-3,1989999999999998;-2;0;-12;17695;923;1337;660;0;458,19099999999997;605;1526;382;0;3222,3180000000002;1368,0260000000001;20,27;383,815;40,914999999999999
2023-01-09 20:00:00;17645,293999999998;-3,4660000000000002;-2;0;-4;17654,759999999998;923;1351;663;0;458,048;606;1875;3,5;0;2921,8270000000002;1069,433;0;375,25999999999999;40,530999999999999
2023-01-09 21:00:00;17335,534;-3,4660000000000002;-2;0;-59;17400;922;1325;648;0;459,40100000000001;604;633;0;0;2508,79;799,52499999999998;0;367,60700000000003;37,598999999999997
2023-01-09 22:00:00;17100,667000000001;-3,3330000000000002;-2;0;-335;17441;922;1283;653;0;459,82799999999997;605;0;0;0;2066,5010000000002;593,43799999999999;0;112,566;39,5
2023-01-09 23:00:00;16279,534;-3,4660000000000002;-2;0;-1230;17515;922;1293;645;0;164,27799999999999;604;0;0;0;1904,165;566,89800000000002;0;90,692999999999998;39,026000000000003
2023-01-10 00:00:00;15804,667000000001;-3,3330000000000002;-2;0;-1877;17687;922;1315;639;0;0;604;0;0;0;1747,204;620,97299999999996;0;37,978999999999999;39,101999999999997
2023-01-10 01:00:00;15460,667000000001;-3,3330000000000002;-2;0;-2299;17765;923;1353;344;0;0;603;0;5,6669999999999998;0;2009,4580000000001;652,51700000000005;0;37,918999999999997;40,042999999999999
2023-01-10 02:00:00;15729,534;-3,4660000000000002;-2;0;-2290;18025;923;1340;234;0;0;604;0;10;0;1768,068;594,26800000000003;0;37,930999999999997;40,203000000000003
2023-01-10 03:00:00;15907,667000000001;-3,3330000000000002;-2;0;-2279;18192;923;1325;236;0;0;604;0;10;0;1905,7170000000001;440,84300000000002;0;37,914000000000001;39,247
2023-01-10 04:00:00;16447,534;-3,4660000000000002;-2;0;-2187;18640;923;1334;400;0;0;604;0;7,3330000000000002;0;2129,5479999999998;295,06999999999999;0;37,706000000000003;39,131999999999998
2023-01-10 05:00:00;18228,534;-3,4660000000000002;-2;0;-679;18913;923;1369;369;0;0;604;0;0;0;1579,346;205,53200000000001;4,984;70,192999999999998;41,192999999999998
2023-01-10 06:00:00;18816,384000000002;-3,0659999999999998;-2;0;-167;18988,450000000001;923;1412;68;0;0;604;133;0;0;1779,876;164,94999999999999;283,04899999999998;202,19;40,539999999999999
2023-01-10 07:00:00;18849,534;-3,4660000000000002;-2;0;-32;18887;923;1396;0;0;0;604;415;0;0;2010,873;173,072;971,25400000000002;241,399;38,677
2023-01-10 08:00:00;18961,534;-3,4660000000000002;-2;0;-33;19000;923;1370;0;0;0;604;435;0;0;2510,9250000000002;198,572;1471,308;369,61700000000002;39,569000000000003
2023-01-10 09:00:00;18659,534;-3,4660000000000002;-2;0;-27;18692;923;1368;0;0;0;604;624;0;0;2784,8499999999999;227,054;1702,2670000000001;363,85199999999998;19,398
2023-01-10 10:00:00;18451,534;-3,4660000000000002;-2;0;-20;18477;922;1356;0;0;0,161;604;913;0;0;2875,248;276,49099999999999;1832,675;291,67399999999998;18,585999999999999
2023-01-10 11:00:00;18311,534;-3,4660000000000002;-2;0;-24;18341;922;1367;2;0;0;603;681;0;0;3063,2910000000002;423,44600000000003;1884,6030000000001;303,70600000000002;17,917999999999999
2023-01-10 12:00:00;17859,534;-3,4660000000000002;-2;0;-28;17893;922;1390;404;0;0;605;648;0;0;3042,5949999999998;608,89599999999996;1834,627;292,33999999999997;17,946000000000002
2023-01-10 13:00:00;17525,800999999999;-3,1989999999999998;-2;0;-31;17562;922;1354;922;0;90,176000000000002;603;452;0;0;3054,2240000000002;757,72299999999996;1712,7750000000001;275,48399999999998;17,645
2023-01-10 14:00:00;17391,934000000001;-3,0659999999999998;-2;0;-28;17425;922;1371;944;0;312,22300000000001;604;614;0;0;2921,5920000000001;950,21400000000006;1572,068;216,84800000000001;29,239999999999998
2023-01-10 15:00:00;17361,667000000001;-3,3330000000000002;-2;0;-30;17397;922;1375;1057;0;440,834;604;540;0;268,19999999999999;2941,7759999999998;1052,6659999999999;1299,9290000000001;244,429;37,576999999999998
2023-01-10 16:00:00;17242,534;-3,4660000000000002;-2;0;-176;17424;921;1397;1045;0;446,65800000000002;601;8;0;178,80000000000001;3695,4940000000001;1363,6759999999999;1108,759;271,32499999999999;40,558999999999997
2023-01-10 17:00:00;17253,534;-3,4660000000000002;-2;0;-38;17297;921;1391;1036;0;450,74900000000002;602;183;0;0;3586,145;1662,5550000000001;680,55200000000002;315,40499999999997;39,863999999999997
2023-01-10 18:00:00;17396,800999999999;-3,1989999999999998;-2;0;-33;17435;921;1366;1048;0;453,40600000000001;603;383;231;97,5;3294,3110000000001;1665,6510000000001;275,90800000000002;299,15699999999998;39,048000000000002
2023-01-10 19:00:00;17581,667000000001;-3,3330000000000002;-2;0;-27;17614;921;1359;1041;0;457,04399999999998;604;802;231;352,5;3350,4870000000001;1537,1110000000001;13,042999999999999;302,411;39,948
2023-01-10 20:00:00;17717,534;-3,4660000000000002;-2;0;-16;17739;921;1412;1058;0;458,50700000000001;604;1238;3,5;0;2821,2040000000002;1462,4459999999999;0;306,02600000000001;39,101999999999997
2023-01-10 21:00:00;16718,203999999998;-3,4660000000000002;-2;0;-924;17647,669999999998;921;1347;717;0;340,82400000000001;521;7;0;0;3726,9349999999999;1379,3699999999999;0;298,18400000000003;38,988999999999997
2023-01-10 22:00:00;15811,534;-3,4660000000000002;-2;0;-1448;17265;922;1289;661;0;307,50900000000001;610;0;0;0;3162,8440000000001;1292,336;0;48,387999999999998;40,057000000000002
2023-01-10 23:00:00;15055,667000000001;-3,3330000000000002;-2;0;-1957;17018;922;1270;616;0;307,87200000000001;605;0;0;0;2984,5309999999999;1069,7950000000001;0;37,893999999999998;40,770000000000003
2023-01-11 00:00:00;15037,534;-3,4660000000000002;-2;0;-1984;17027;922;1304;552;0;64,159000000000006;610;0;0;0;2801,8220000000001;656,22900000000004;0;37,893999999999998;40,569000000000003
2023-01-11 01:00:00;15229,534;-3,4660000000000002;-2;0;-1958;17193;922;1347;320;0;0;605;0;0;0;2739,116;495,09899999999999;0;37,918999999999997;40,655999999999999
2023-01-11 02:00:00;15265,534;-3,4660000000000002;-2;0;-1958;17229;922;1347;328;0;0;605;0;0;0;2613,2510000000002;374,86099999999999;0;37,951999999999998;40,072000000000003
2023-01-11 03:00:00;15339,720999999998;-3,1989999999999998;-2;0;-1898;17242,919999999998;923;1357;369;0;0;606;0;0;0;2740,7040000000002;270,137;0;20,015999999999998;37,000999999999998
2023-01-11 04:00:00;16525,534;-3,4660000000000002;-2;0;-953;17484;922;1340;382;0;13,75;534;0;0;0;2837,0120000000002;258,50200000000001;0;0;37,139000000000003
2023-01-11 05:00:00;17822,534;-3,4660000000000002;-2;0;-59;17887;922;1374;384;0;289,78100000000001;480;991;0;0;2545,4929999999999;190,59700000000001;4,3090000000000002;0;41,904000000000003
2023-01-11 06:00:00;18107,534;-3,4660000000000002;-2;0;-20;18133;923;1427;365;0;310,95699999999999;481;1021;0;0;2665,248;188,833;232,20099999999999;7,3999999999999996E-2;41,524999999999999
2023-01-11 07:00:00;18226,574000000001;-3,4660000000000002;-2;0;-32;18264,040000000001;922;1387;372;0;310,798;481;540;0;0;2330,9409999999998;178,215;812,029;27,728999999999999;38,186999999999998
2023-01-11 08:00:00;18397,944;-3,4660000000000002;-2;0;-47;18450,41;923;1349;389;0;308,93799999999999;481;369;0;0;2592,7289999999998;209,078;1293,567;121,834;40,987000000000002
2023-01-11 09:00:00;18259,934000000001;-3,0659999999999998;-2;0;-230;18495;922;1347;387;0;307,56;587;0;0;0;3017,2399999999998;359,90499999999997;1508,326;148,06800000000001;42,225000000000001
2023-01-11 10:00:00;17809,800999999999;-3,1989999999999998;-2;0;-79;17894;922;1425;489;0;221,185;604;499;0;0;2983,3809999999999;454,428;1694,518;170,52099999999999;39,896999999999998
2023-01-11 11:00:00;17199,333999999999;-2,6659999999999999;-2;0;-19;17223;922;1487;730;0;180,05699999999999;602;912;0;0;3136,2750000000001;447,57900000000001;1730,883;150,68299999999999;38,168999999999997
2023-01-11 12:00:00;16992,332999999999;-0,66700000000000004;-2;0;-25;17020;922;1433;1129;0;289,45100000000002;603;806;0;0;3046,4479999999999;570,26400000000001;1574,74;208,40799999999999;18,363
2023-01-11 13:00:00;16624;0;-2;0;-27;16653;922;1437;1445;0;291,25;603;543;0;0;3329,7710000000002;728,50699999999995;1294,4870000000001;170,65199999999999;18,094000000000001
2023-01-11 14:00:00;16359;0;-2;0;-50;16411;922;1423;1466;0;320,005;603;1073;0;0;3197,04;848,89800000000002;1297,0650000000001;168,036;21,443000000000001
2023-01-11 15:00:00;16465;0;-2;0;-18;16485;922;1413;1550;0;438,74000000000001;602;1341;0;253,30000000000001;2970,482;920,601;1034,203;144,34999999999999;24,599
2023-01-11 16:00:00;16636;0;-2;0;-69;16707;922;1437;1570;0;443,69999999999999;596;180;0;193,69999999999999;4551,7740000000003;910,21400000000006;842,35599999999999;134,56800000000001;15,967000000000001
2023-01-11 17:00:00;16741;0;-2;0;-30;16773;922;1433;1586;0;445,20600000000002;603;547;0;0;4477,7049999999999;908,15599999999995;543,73900000000003;175,655;15,052
2023-01-11 18:00:00;16777;0;-2;0;-29;16808;921;1399;1582;0;449,83300000000003;602;452;223;0;4648,9939999999997;1026,8879999999999;168,577;152,45400000000001;12,731999999999999
2023-01-11 19:00:00;16991;0;-2;0;-21;17014;921;1333;1541;0;454,495;602;945;223;59,600000000000001;4876,7619999999997;1093,529;6,3979999999999997;127,68300000000001;12,667999999999999
2023-01-11 20:00:00;16770;0;-2;0;-27;16799;921;1405;1592;0;454,90100000000001;606;950;0;394,85000000000002;4240,9750000000004;1015,633;0;119,151;12,951000000000001
2023-01-11 21:00:00;16416;0;-2;0;-293;16711;921;1420;1609;0;455,88900000000001;605;232;0;0;3957,2190000000001;755,58600000000001;0;80,831000000000003;16,347000000000001
2023-01-11 22:00:00;15386;0;-2;0;-1298;16686;921;1400;1590;0;457,16500000000002;607;0;0;0;3296,1559999999999;896,58399999999995;0;37,607999999999997;30,477
2023-01-11 23:00:00;14407;0;-2;0;-2209;16618;922;1319;1541;0;402,82999999999998;605;0;0;0;3079,3870000000002;839,22199999999998;0;37,527000000000001;39,768999999999998
2023-01-12 00:00:00;14758;0;-2;0;-2026;16786;922;1364;1252;0;6,1369999999999996;607;0;0;0;2742,8829999999998;598,75099999999998;0;37,506999999999998;39,027999999999999
2023-01-12 01:00:00;14685;0;-2;0;-2165;16852;922;1339;1189;0;0;606;0;0;0;2733,9470000000001;487,64499999999998;0;18,888000000000002;39,716000000000001
2023-01-12 02:00:00;14549,599999999999;-0,40000000000000002;-2;0;-2255;16807;922;1357;1188;0;0;603;0;0;0;2742,9830000000002;534,21299999999997;0;0;38,384
2023-01-12 03:00:00;14490;0;-2;0;-1980;16472;922;1365;1154;0;0;605;0;0;0;2885,6950000000002;622,15800000000002;0;0;37,966000000000001
2023-01-12 04:00:00;15629;0;-2;0;-882;16513;922;1361;1098;0;0;604;0;0;0;2957,4070000000002;621,64999999999998;0;0;36,753999999999998
2023-01-12 05:00:00;17208;0;-2;0;-207;17417;922;1380;839;0;0;602;0;0;0;3621,5830000000001;781,38900000000001;2,8559999999999999;0;38,673999999999999
2023-01-12 06:00:00;17756;0;-2;0;-118;17876;922;1388;768;0;0;599;109;0;0;3697,48;714,04899999999998;190,488;0;37,213999999999999
2023-01-12 07:00:00;17495;0;-2;0;-490;17987;922;1360;760;0;0;604;0;0;0;3860,2220000000002;529,71799999999996;703,71699999999998;7,3949999999999996;38,845999999999997
2023-01-12 08:00:00;17631;0;-2;0;-226;17859;922;1329;634;0;0;603;0;0;0;4278,0500000000002;570,16399999999999;1209,7550000000001;122,288;39,591000000000001
2023-01-12 09:00:00;17305,799999999999;-1,2;-2;0;-459;17768;922;1345;416;0;0;603;0;0;0;4488,6400000000003;816,29100000000005;1620,7349999999999;211,59999999999999;39,640999999999998
2023-01-12 10:00:00;17514,667000000001;-3,3330000000000002;-2;0;-86;17606;921;1349;12;0;0;603;157;0;0;4575,1379999999999;929,77200000000005;1774,182;312,255;22,609999999999999
2023-01-12 11:00:00;17343,667000000001;-3,3330000000000002;-2;0;-33;17382;921;1407;0;0;3,0000000000000001E-3;603;314;0;0;4519,9579999999996;1096,0050000000001;1848,0350000000001;328,21899999999999;39,406999999999996
2023-01-12 12:00:00;17211,667000000001;-3,3330000000000002;-2;0;-30;17247;921;1339;0;0;0;605;385;0;0;4489,5770000000002;1286,54;1789,1859999999999;338,61000000000001;39,436
2023-01-12 13:00:00;16920,667000000001;-3,3330000000000002;-2;0;-117;17043;920;1326;0;0;0;600;65;0;0;4792,4489999999996;1423,3009999999999;1621,5830000000001;303,54599999999999;38,204999999999998
2023-01-12 14:00:00;16588,667000000001;-3,3330000000000002;-2;0;-454;17048;920;1305;0;0;0;601;0;0;0;5109,8190000000004;1678,5429999999999;1454,3779999999999;298,87900000000002;37,247999999999998
2023-01-12 15:00:00;16781,800999999999;-3,1989999999999998;-2;0;-517;17304;920;1298;0;0;0;601;0;0;0;5131,6310000000003;2058,2890000000002;1385,019;237,798;40,906999999999996
2023-01-12 16:00:00;16898,667000000001;-3,3330000000000002;-2;0;-721;17625;920;1337;0;0;0;601;138;0;0;5168,3649999999998;2059,3240000000001;1215,222;238,18600000000001;41,090000000000003
2023-01-12 17:00:00;16946,667000000001;-3,3330000000000002;-2;0;-817;17769;920;1404;0;0;0;601;332;0;0;5123,3969999999999;2028,886;788,36800000000005;310,23899999999998;41,051000000000002
